,Country,City,Latitude,Longitude,Current Temp(c),Max Temp(c),Humidity (%),Cloudiness,Windspeed (km/h)
0,IT,Quartucciu,39.2519,9.1794,13.89,13.89,67,0,7.416
1,RO,Valea Ursului,46.8167,27.0833,13.16,13.29,73,99,14.544
2,US,Owings Mills,39.4196,-76.7803,20.42,22.97,57,7,1.62
3,BR,Barra,-11.0894,-43.1417,28.47,28.47,51,65,22.86
4,MD,Soroca,48.1558,28.2975,13.56,13.56,78,28,12.78
5,RO,Coroisânmartin,46.4,24.6,12.19,12.84,94,100,7.416
6,RU,Yurovka,45.1147,37.4188,6.72,6.72,87,0,3.6
7,IN,Kāman,27.65,77.2667,28.2,28.2,17,0,8.532
8,HU,Csány,47.6483,19.8297,7.19,7.19,88,50,4.788
9,UA,Chystyakove,48.0388,38.5969,10.82,10.82,87,35,8.676
10,IT,Venosa,40.9613,15.8149,6.46,6.46,77,0,9.18
11,CO,Chinavita,5.1672,-73.3682,16.02,16.02,99,97,3.204
12,FR,Saint-François,46.4154,3.9054,11.69,11.69,87,100,7.416
13,GR,Kastoria,40.5167,21.2667,11.12,11.12,80,11,5.472
14,RU,Nerchinsk,51.9833,116.5833,0.91,0.91,64,84,10.692
15,DE,Langen,49.9933,8.6728,8.09,9.39,57,95,7.668
16,US,Cheshire,41.499,-72.9007,10.75,13.79,43,0,12.96
17,PH,Bolitoc,15.7395,119.8769,28.65,28.65,69,5,3.132
18,KZ,Fort-Shevchenko,44.5086,50.263,14.33,14.33,59,25,19.944
19,GB,Chapeltown,53.4651,-1.4722,7.31,8.25,80,53,14.508000000000001
20,GP,Gourbeyre,15.9938,-61.6914,22.24,22.31,68,84,19.404
21,CN,Huaibei,33.9744,116.7917,18.49,18.49,96,100,14.112
22,DK,Allingåbro,56.465,10.3341,6.27,7.22,77,8,11.268
23,CO,Villeta,5.0089,-74.4723,27.34,27.34,95,100,1.548
24,MX,Tlajomulco,19.6147,-97.7914,22.82,22.82,45,5,16.524
25,CN,Sujiatun,41.6592,123.3392,14.1,14.1,72,100,0.0
26,BE,Oupeye,50.71,5.6449,9.96,11.21,68,0,7.416
27,RU,Shumskiy,54.8318,99.1328,-3.58,-3.58,72,100,18.072
28,CZ,Polešovice,49.0339,17.3406,8.55,10.31,96,98,1.548
29,GB,Motherwell,55.7892,-3.9919,7.75,8.51,82,97,9.648000000000001
30,EE,Pajusti,59.2807,26.4119,3.68,3.68,97,100,15.768
31,BG,Breznik,42.7414,22.8981,13.25,13.25,88,59,6.228
32,RU,Lepley,54.3092,42.8599,9.68,9.68,95,100,8.604000000000001
33,JP,Yashiro,34.9167,134.9667,18.3,18.3,80,25,3.8880000000000003
34,FR,Moissac,44.1024,1.0945,10.26,10.93,94,9,9.324
35,HN,Sensenti,14.4833,-88.9333,23.35,24.32,90,90,4.392
36,NP,Khanbari,27.3747,87.2039,19.76,19.76,47,4,6.984
37,RO,Făgăraș,45.85,24.9667,10.63,10.63,88,96,9.107999999999999
38,RO,Todireşti,47.3167,26.8333,10.89,10.89,80,100,7.812
39,BF,Gaoua,10.2992,-3.2508,30.94,30.94,13,19,3.492
40,HU,Nagycserkesz,47.9667,21.5333,9.68,9.68,95,62,10.224
41,US,Pittsburgh,40.4406,-79.9959,28.71,28.84,30,0,18.503999999999998
42,RU,Znamenka,52.4167,41.4311,10.63,10.63,84,100,13.176
43,BA,Pećigrad,45.0544,15.8969,10.2,10.2,76,87,13.032
44,US,Worthington,40.0931,-83.018,26.14,27.03,44,0,25.92
45,CZ,Odolena Voda,50.2334,14.4108,7.64,8.58,94,100,7.416
46,RO,Dobroeşti,44.45,26.1833,15.6,16.19,66,0,7.416
47,HU,Csömör,47.55,19.2333,7.1,8.17,96,0,1.836
48,CR,Desamparados,9.9473,-84.5063,26.82,27.23,81,64,3.132
49,UA,Kosmach,48.7509,24.3673,9.01,9.01,88,82,6.803999999999999
50,MX,Juchitlán,20.0833,-104.1167,31.82,31.82,14,3,22.032
51,GR,Péta,39.1667,21.0347,11.93,15.78,80,28,4.464
52,DE,Stuttgart,48.7823,9.177,9.51,9.87,90,75,7.416
53,RO,Nucet,44.7833,25.55,13.82,13.82,99,99,12.564000000000002
54,JP,Ashikaga,36.3333,139.45,21.63,21.63,57,76,1.692
55,US,New Ulm,44.3125,-94.4605,8.05,9.05,63,100,38.88
56,AM,Haghartsin,40.7761,44.9685,11.68,11.68,81,65,0.216
57,CO,El Carmen,8.5106,-73.4478,20.91,20.91,94,54,5.04
58,JO,Petra,30.3222,35.4793,17.56,17.56,50,99,4.716
59,IR,Mīāndoāb,36.9694,46.1027,11.52,11.52,71,100,14.508000000000001
60,DE,Schwaigern,49.1439,9.055,9.76,10.18,96,100,8.136
61,RO,Miroşi,44.4167,24.9333,13.52,13.52,82,96,14.112
62,PH,Bato,13.3528,123.3677,26.19,26.19,87,84,3.168
63,US,Pepperell,42.6659,-71.5884,10.64,12.52,46,75,12.96
64,JP,Kisai,36.1,139.5833,18.96,21.09,61,57,2.7720000000000002
65,SI,Sevnica,46.0078,15.3156,7.9,10.04,86,89,6.408
66,PH,Candelaria,13.9311,121.4233,27.22,27.22,77,84,6.803999999999999
67,IT,Vietri sul Mare,40.6687,14.7253,13.94,15.47,87,2,1.62
68,NL,Vianen,51.9925,5.0917,8.2,9.47,81,6,13.14
69,US,Micco,27.8806,-80.5003,24.58,26.17,77,43,4.824000000000001
70,AT,Ebreichsdorf,47.95,16.4,9.53,12.3,87,78,5.328
71,PA,Cerro Cama,9.03,-79.905,26.28,27.52,88,99,2.7720000000000002
72,US,Oil City,41.4339,-79.7064,26.77,26.77,34,0,27.791999999999998
73,DE,Anröchte,51.5667,8.3333,7.95,8.77,72,100,7.38
74,BA,Donje Dubrave,44.4827,18.6791,10.14,10.14,74,18,5.292
75,BE,Ittre,50.644,4.2648,9.96,10.96,77,78,12.6
76,US,Auburn Hills,42.6875,-83.2341,23.21,26.44,50,75,25.92
77,IT,Molfetta,41.2002,16.5975,14.35,15.55,40,1,9.251999999999999
78,HU,Tiszakécske,46.9326,20.1035,9.68,11.73,82,87,10.224
79,MX,Boca del Rio,19.1,-96.1,29.6,29.6,50,0,26.676000000000002
80,MX,Tenochtitlan,24.0769,-104.5844,30.95,30.95,6,20,16.668
81,EC,Puyo,-1.4667,-77.9833,24.58,24.58,78,40,5.5440000000000005
82,FR,Montataire,49.2561,2.4389,12.58,14.03,75,99,9.072000000000001
83,GA,Ntoum,0.3833,9.7833,23.75,23.75,95,100,2.2680000000000002
84,RU,Nizhniy Chir,48.3597,43.0865,11.6,11.6,81,100,14.076
85,PH,Guisijan,11.0932,122.0461,27.78,27.78,74,97,5.508
86,US,Okemos,42.7223,-84.4275,20.07,21.99,84,100,9.251999999999999
87,UA,Snihurivka,47.0758,32.8052,10.98,10.98,78,69,3.168
88,HU,Úrkút,47.085,17.6439,10.18,10.18,75,67,11.844000000000001
89,BR,Moju,-1.8839,-48.7689,22.88,22.88,98,100,2.052
90,CZ,Český Brod,50.0742,14.8608,8.11,8.77,93,95,9.432
91,US,Glenvar Heights,25.7076,-80.3256,25.72,27.0,74,40,29.628000000000004
92,BR,Botelhos,-21.6333,-46.395,17.53,17.53,84,18,4.968
